source_row,dedup_id,title,year,journal,candidate_topics,gpt_decision,gpt_reason,deepseek_decision,deepseek_reason,recommended_action
266,D0016661,The impact of early social support on subsequent health recovery after a major disaster: A longitudinal analysis.,2021,SSM - population health,cyclone,NARRATIVE_ONLY,"The longitudinal regression estimates effects of post-Katrina social support on later health, not the effect of Katrina exposure.",EXCLUDE,"Abstract examines social support soon after Hurricane Katrina as the exposure predicting mental and physical health recovery; the hurricane is only context/control (housing damage), and no hurricane hazard effect is estimated.",DO_NOT_ADVANCE_MAIN_META
267,D0016772,Effect of extreme temperatures on daily emergency room visits for mental disorders,2021,Environmental science and pollution research international,temperature,META_ELIGIBLE,A quasi-Poisson DLNM of daily maximum temperature and mental-disorder ER visits reports heat and cold RRs with 95% CIs.,META_ELIGIBLE,"Daily time-series DLNM of ambient maximum temperature and ER visits for mental disorders; adjusted for trend, seasonality, day of week, precipitation; reports heat RR 1.16 (95% CI 1.06-1.27) and cold lag 14-day RR 1.25 (95% CI 1.08-1.45).",PRIORITY_FULLTEXT
268,D0016776,Meteorological variables and suicidal behavior: Air pollution and apparent temperature are associated with high-lethality suicide attempts and male gender,2021,Frontiers in Psychiatry,temperature,NARRATIVE_ONLY,"The study reports correlations and trend correspondence between weather and high-lethality attempts among 225 admitted patients, without a credible time-series counterfactual.",NARRATIVE_ONLY,The abstract describes Mann-Kendall trend and cross-correlation analyses between meteorological variables and high-lethality suicide attempts. It reports a 75% correlation with apparent temperature but no quantitative causal effect with uncertainty or credible quasi-experimental counterfactual; this is a descriptive/predictor analysis.,DO_NOT_ADVANCE_MAIN_META
269,D0016783,"Temporal trends of the association between extreme temperatures and hospitalisations for schizophrenia in Hefei, China from 2005 to 2014",2021,Occupational and Environmental Medicine,temperature,META_ELIGIBLE,"Ten years of daily schizophrenia admissions are analyzed with quasi-Poisson DLNMs, and extreme heat and cold RRs with 95% CIs are reported.",META_ELIGIBLE,"Time-series study with 10 years of schizophrenia hospitalisations and ambient temperature; quasi-Poisson DLNM estimates cold and heat effects with RR and 95% CI. Outcome is psychiatric service use, and temporal within-unit exposure variation provides credible counterfactual.",PRIORITY_FULLTEXT
270,D0016886,Association between ambient temperature and intentional injuries: A case-crossover analysis using ambulance transport records in Japan,2021,Science of the Total Environment,temperature,META_ELIGIBLE,A nationwide time-stratified case-crossover DLNM estimates temperature effects on self-harm ambulance transports and reports pooled RRs with 95% CIs.,META_ELIGIBLE,"Time-stratified case-crossover with conditional quasi-Poisson and DLNM using objectively measured ambient temperature; reports RR 1.11 (95% CI 1.07-1.15) for self-harm ambulance transports, an eligible mental-health outcome.",PRIORITY_FULLTEXT
271,D0016904,"Increasing impacts of temperature on hospital admissions, length of stay, and related healthcare costs in the context of climate change in Adelaide, South Australia",2021,Science of the Total Environment,temperature,FULLTEXT_REVIEW,"An empirical daily DLNM precedes climate projections, but the reported burden pools mental health with several physical conditions and gives no separable mental-health effect.",FULLTEXT_REVIEW,"Daily time-series DLNM of objective temperature and hospital admissions includes mental health, but abstract only reports pooled temperature-attributable admissions/LoS/costs, not mental-health-specific estimate or uncertainty.",FULLTEXT_REVIEW
272,D0016928,"Birth outcomes, pregnancy complications, and postpartum mental health after the 2013 Calgary flood: A difference in difference analysis",2021,PLoS ONE,flood,FULLTEXT_REVIEW,"Administrative data and flooded versus non-flooded areas are analyzed by difference-in-differences, but mental-health results are only stated as null without estimates or CIs.",FULLTEXT_REVIEW,"Abstract reports a difference-in-differences analysis of the 2013 Calgary flood using administrative data and includes postpartum depression/anxiety diagnosis or prescription as a mental health outcome. However, it only states 'no differences' without a quantitative flood effect estimate or uncertainty for the mental health outcome.",FULLTEXT_REVIEW
273,D0016941,"Outside the eye of the storm: Can moderate hurricane exposure improve social, psychological, and attachment functioning?",2021,Personality and Social Psychology Bulletin,cyclone,FULLTEXT_REVIEW,"A prospective pre/post hurricane cohort is compared with matched cohorts, but changes in distress and affect are reported without effect estimates or uncertainty.",FULLTEXT_REVIEW,"Abstract reports a prospective quasi-experimental cohort with pre/post hurricane assessments and matched comparison cohorts, and distress outcomes, but does not specify how hurricane exposure was measured, whether comparison cohorts provide a credible non-concurrent counterfactual, or report effect sizes/uncertainty.",FULLTEXT_REVIEW
274,D0016955,Modelling the relationship between rainfall and mental health using different spatial and temporal units,2021,International Journal of Environmental Research and Public Health,drought,FULLTEXT_REVIEW,"Objective rainfall is treated as drought and related to mental-health ED visits across spatiotemporal units, but deficit definitions, identifying controls, and uncertainty are unclear.",FULLTEXT_REVIEW,"The abstract reports rate ratios for MHED presentations and objective daily rainfall but does not specify the analytic design or counterfactual, and uses rainfall as a drought proxy without an explicit drought index.",FULLTEXT_REVIEW
275,D0016958,"Learned Helplessness, Psychological Wellbeing, and Proenvironment Care Behavior among Victims of Frequent Floods in Kerala",2021,Journal of Neurosciences in Rural Practice,flood,NARRATIVE_ONLY,"A single post-event sample compares households reporting one, two, or no flood exposures; there is no pre-event outcome or temporal counterfactual.",NARRATIVE_ONLY,"Post-event cross-sectional comparison of once, twice, and never flood-affected groups; outcomes measured only after floods with no pre-flood baseline. This exposed/unexposed post-event comparison lacks a credible counterfactual for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
276,D0016998,Suicidal behavior and flood effects in Bangladesh: A two-site interview study,2021,Risk Management and Healthcare Policy,flood,NARRATIVE_ONLY,Flood survivors were interviewed once four to five months after the event; severity and flood effects are self-reported and there is no pre-event outcome.,NARRATIVE_ONLY,"Cross-sectional interview study conducted 4-5 months post-flood in two affected villages; no pre-event outcome or unexposed counterfactual, flood effect exposure appears self-reported, and results are prevalence and risk-factor associations (e.g., χ2) rather than a causal hazard effect with extractable uncertainty.",DO_NOT_ADVANCE_MAIN_META
277,D0017091,"Trajectories of depressive symptoms experienced by older people: Effects of time, Hurricane Sandy, and the Great Recession",2021,The Journals of Gerontology: Series B: Psychological Sciences and Social Sciences,cyclone,FULLTEXT_REVIEW,"A 12-year panel spans Sandy, but exposure is reported peritraumatic stress and the abstract gives only a qualitative null hazard effect without uncertainty.",NARRATIVE_ONLY,"Abstract describes exposure as self-reported peri-traumatic stress during Hurricane Sandy, not objective/verifiable hazard exposure; no extractable quantitative hazard effect with uncertainty is reported. Depression outcome is eligible and panel is longitudinal, but exposure metric makes design ineligible.",ADJUDICATE_PRIORITY
278,D0017109,Childhood anxiety: Prenatal maternal stress and parenting in the QF2011 cohort,2021,Child Psychiatry and Human Development,flood,NARRATIVE_ONLY,"Prenatal flood stress comprises reported hardship, appraisal, and distress, while child anxiety is measured only six years later without a pre-event child outcome.",NARRATIVE_ONLY,"Exposure is flood-related prenatal maternal stress measured via self-reported objective hardship, cognitive appraisal, and subjective distress; no externally verified flood hazard or credible counterfactual; abstract reports no PNMS-anxiety association and no extractable hazard effect.",DO_NOT_ADVANCE_MAIN_META
279,D0017155,Trajectories of posttraumatic stress symptoms among young adults exposed to a Typhoon: A three-wave longitudinal study,2023,International Journal of Public Health,cyclone,NARRATIVE_ONLY,All participants were exposed to Typhoon Hato and only three post-event PTSS waves were modeled; direct exposure is a trajectory predictor rather than changing hazard exposure.,NARRATIVE_ONLY,"All participants were exposed to Typhoon Hato; abstract describes latent class growth/multinomial logistic regression identifying PTSS trajectories and correlates, with direct typhoon exposure only a predictor of trajectory membership. No unexposed counterfactual or pre-event outcome is present, so no extractable hazard effect is reported.",DO_NOT_ADVANCE_MAIN_META
